회사명,종목코드,업종,주요제품,상장일,결산월,대표자명,홈페이지,지역,2024년 매출액(원),sector_tag_en,sector_tag_ko,product_tags_en,product_tags_ko,OpenAI_Info,OpenAI_Hashtags,AI,Robotics,Defense,Environment,Bio,Longevity
캡스톤파트너스,452300,기타 금융업,벤처투자조합 등 조합 결성 및 운영,2023-11-15,12월,송은강,http://cspartners.co.kr,서울특별시,"9,508,927,375",Other Industrials,기타산업,['Other Products'],['기타 제품/서비스'],"캡스톤파트너스는 벤처 캐피탈 및 자산 운용 회사로, 혁신적인 스타트업과 기업에 대한 투자 및 지원을 통해 성장 가능성을 높이는 데 주력하고 있습니다. 이 회사는 다양한 산업 분야의 기업에 투자하며, 스타트업의 초기 성장 단계에서부터 후속 투자까지 폭넓은 지원을 제공합니다.

캡스톤파트너스가 제공하는 제품과 서비스는 다음과 같습니다:

#벤처캐피탈 #자산운용 #스타트업투자 #기업지원 #투자컨설팅 #시장분석 #네트워킹지원 #멘토링 #전략적제휴",#벤처캐피탈 #자산운용 #스타트업투자 #기업지원 #투자컨설팅 #시장분석 #네트워킹지원 #멘토링 #전략적제휴,0,0,0,0,0,0
프로젠,296160,자연과학 및 공학 연구개발업,바이오의약품,2023-11-15,12월,김종균,http://progen.co.kr/,서울특별시,,Industrials,산업재,['Other Products'],['기타 제품/서비스'],"프로젠(Progen)은 생명과학 및 바이오 분야에서 활발히 활동하는 회사로, 주로 연구용 시약, 진단 키트 및 세포 배양 관련 제품을 제공합니다. 이 회사는 혁신적인 기술과 제품을 통해 생명과학 연구자들에게 필요한 솔루션을 제공하고 있습니다.

제공하는 제품과 서비스는 다음과 같습니다:

#세포배양제품 #진단키트 #연구용시약 #생명과학솔루션 #바이오테크놀로지",#세포배양제품 #진단키트 #연구용시약 #생명과학솔루션 #바이오테크놀로지,0,0,0,0,1,0
에스와이스틸텍,365330,"구조용 금속제품, 탱크 및 증기발생기 제조업",데크플레이트,2023-11-13,12월,홍성균,http://systeeltech.com/,충청북도,"119,756,583,109",Materials,소재,['Other Products'],['기타 제품/서비스'],"에스와이스틸텍은 주로 금속 제품 및 소재를 전문적으로 다루는 기업으로, 특히 스틸(강철) 관련 제품에 주력하고 있습니다. 이 회사는 다양한 산업 분야에 필요한 고품질의 금속 솔루션을 제공하며, 고객 맞춤형 서비스를 통해 산업의 요구를 충족시키고 있습니다.

제공하는 제품과 서비스는 다음과 같습니다:

#강철제품 #금속가공 #용접서비스 #제조업솔루션 #산업용소재 #커스터마이징서비스",#강철제품 #금속가공 #용접서비스 #제조업솔루션 #산업용소재 #커스터마이징서비스,0,0,0,0,0,0
에이직랜드,445090,반도체 제조업,"비메모리 반도체 설계및 제조, 전자회로 연구, 설계, 레이아웃 등",2023-11-13,12월,이종민,http://www.asicland.com,경기도,"74,154,339,770",Other Industrials,기타산업,['Other Products'],['기타 제품/서비스'],"에이직랜드는 최신 기술과 혁신적인 솔루션을 제공하는 회사로, 다양한 산업 분야에서 고객의 요구를 충족시키기 위해 노력하고 있습니다. 이 회사는 주로 IT 솔루션, 소프트웨어 개발, 데이터 분석 등을 전문으로 하고 있으며, 고객 맞춤형 서비스를 통해 기업의 효율성을 높이는 데 기여하고 있습니다.

#소프트웨어개발 #IT솔루션 #데이터분석 #고객맞춤서비스 #혁신적솔루션",#소프트웨어개발 #IT솔루션 #데이터분석 #고객맞춤서비스 #혁신적솔루션,1,0,0,0,0,0
한국제13호스팩,464440,금융 지원 서비스업,기업인수합병,2023-11-13,12월,김장하,,서울특별시,,Other Industrials,기타산업,['Other Products'],['기타 제품/서비스'],"한국제13호스팩은 주식회사로, 주로 특수 목적의 스팩(SPAC, Special Purpose Acquisition Company) 설립 및 운영을 전문으로 하는 회사입니다. 이 회사는 다양한 산업 분야의 유망 기업과의 합병을 통해 상장 기업으로 발전할 수 있도록 지원하고 있습니다.

회사가 제공하는 제품과 서비스는 다음과 같습니다:

#스팩설립 #상장지원 #기업합병 #투자유치 #자산운용 #재무컨설팅",#스팩설립 #상장지원 #기업합병 #투자유치 #자산운용 #재무컨설팅,0,0,0,0,0,0
메가터치,446540,일차전지 및 이차전지 제조업,"배터리 핀, 반도체 핀",2023-11-09,12월,윤재홍,http://www.megatouch.co.kr/,충청남도,"50,143,416,324",Other Industrials,기타산업,['Other Products'],['기타 제품/서비스'],"메가터치는 디지털 사이니지 및 인터랙티브 기술을 전문으로 하는 회사로, 다양한 산업 분야에 맞춤형 솔루션을 제공합니다. 이 회사는 현대적인 디자인과 혁신적인 기술을 바탕으로 고객의 요구에 부합하는 제품을 개발하고 있습니다.

#디지털사이니지 #인터랙티브키오스크 #모바일앱 #콘텐츠관리시스템 #AR솔루션 #VR체험 #정보전달솔루션",#디지털사이니지 #인터랙티브키오스크 #모바일앱 #콘텐츠관리시스템 #AR솔루션 #VR체험 #정보전달솔루션,0,0,0,0,0,0
비아이매트릭스,413640,소프트웨어 개발 및 공급업,로우코드 기반 코딩 자동화 솔루션 등,2023-11-09,12월,배영근,http://www.bimatrix.co.kr,서울특별시,"25,855,874,322",Information Technology,정보기술,['Computer & IT Services'],['컴퓨터·IT 서비스'],"비아이매트릭스(BIAMATRIX)는 데이터 분석 및 비즈니스 인텔리전스(BI) 솔루션을 제공하는 회사입니다. 이 회사는 고객의 데이터에서 인사이트를 추출하고, 이를 바탕으로 비즈니스 의사결정을 지원하는 다양한 제품과 서비스를 제공합니다.

비아이매트릭스의 제품과 서비스는 다음과 같습니다.

#데이터분석 #비즈니스인텔리전스 #보고서자동화 #데이터시각화 #예측분석 #고객맞춤형솔루션 #데이터통합 #AI기반분석",#데이터분석 #비즈니스인텔리전스 #보고서자동화 #데이터시각화 #예측분석 #고객맞춤형솔루션 #데이터통합 #AI기반분석,1,0,0,0,0,0
컨텍,451760,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","지상국 시스템 엔지니어링 솔루션, 위성영상 생성을 위한 데이터처리 솔루션",2023-11-09,12월,이성희,http://kr.contec.kr/,대전광역시,"15,813,851,205",Other Industrials,기타산업,['Other Products'],['기타 제품/서비스'],"컨텍(Contec)은 의료기기 및 IT 솔루션을 제공하는 기업으로, 주로 병원 및 의료기관에서 사용되는 다양한 제품을 개발하고 있습니다. 이 회사는 진단 장비, 의료 정보 시스템, 원격 진료 솔루션 등을 포함한 혁신적인 기술을 통해 의료 서비스의 질을 향상시키고 있습니다.

#의료기기 #IT솔루션 #진단장비 #의료정보시스템 #원격진료 #헬스케어혁신",#의료기기 #IT솔루션 #진단장비 #의료정보시스템 #원격진료 #헬스케어혁신,0,0,0,0,1,0
큐로셀,372320,자연과학 및 공학 연구개발업,CAR-T 세포치료제,2023-11-09,12월,김건수,http://curocellbtx.com,대전광역시,0,Industrials,산업재,['Other Products'],['기타 제품/서비스'],"큐로셀(Quracell)은 생명과학 및 바이오 기술 분야에서 혁신적인 솔루션을 제공하는 회사입니다. 이 회사는 주로 세포 및 유전자 치료, 생체재료, 그리고 다양한 진단 및 치료를 위한 의료기술을 개발하고 있습니다. 큐로셀은 연구개발을 통해 인류의 건강과 삶의 질을 향상시키기 위한 노력을 하고 있습니다.

큐로셀이 제공하는 제품과 서비스는 다음과 같습니다:

#세포치료제 #유전자치료제 #생체재료 #진단키트 #의료기술 #바이오의약품 #연구개발 #헬스케어솔루션",#세포치료제 #유전자치료제 #생체재료 #진단키트 #의료기술 #바이오의약품 #연구개발 #헬스케어솔루션,0,0,0,0,1,0
쏘닉스,88280,반도체 제조업,RF필터 파운드리,2023-11-07,12월,양형국,http://www.sawnics.com,경기도,"13,813,256,246",Other Industrials,기타산업,['Other Products'],['기타 제품/서비스'],"'쏘닉스'는 주로 음향 및 신호 처리 기술을 전문으로 하는 회사로, 다양한 오디오 솔루션을 개발하고 제공합니다. 이 회사는 고품질의 오디오 장비와 소프트웨어를 통해 소비자와 산업 고객에게 혁신적인 음향 경험을 선사합니다.

쏘닉스가 제공하는 제품과 서비스는 다음과 같습니다:
#오디오장비 #신호처리소프트웨어 #음향솔루션 #고급스피커 #헤드폰 #음향측정기 #스튜디오모니터 #사운드디자인서비스",#오디오장비 #신호처리소프트웨어 #음향솔루션 #고급스피커 #헤드폰 #음향측정기 #스튜디오모니터 #사운드디자인서비스,0,0,0,0,0,0
KB제27호스팩,464680,금융 지원 서비스업,기업인수합병,2023-11-03,12월,이태영,,서울특별시,0,Other Industrials,기타산업,['Other Products'],['기타 제품/서비스'],"'KB제27호스팩'은 금융 서비스와 상품을 제공하는 기업으로, 특히 고객의 다양한 요구에 맞춘 혁신적인 솔루션을 개발하고 있습니다. 이 회사는 안전하고 효율적인 금융 거래를 위한 다양한 서비스를 제공합니다.

#금융서비스 #투자상품 #자산관리 #보험상품 #대출서비스 #리서치서비스 #온라인뱅킹 #모바일뱅킹",#금융서비스 #투자상품 #자산관리 #보험상품 #대출서비스 #리서치서비스 #온라인뱅킹 #모바일뱅킹,0,0,0,0,0,0
세니젠,188260,그외 기타 제품 제조업,"Genelix, Genext, Geneka 등",2023-11-03,12월,박정웅,http://sanigen.kr,경기도,"22,268,480,095",Other Industrials,기타산업,['Other Products'],['기타 제품/서비스'],"세니젠(Senigen)은 생명과학 및 의료 분야에서 혁신적인 솔루션을 제공하는 회사입니다. 이 회사는 주로 분자 진단, 유전자 분석, 그리고 맞춤형 의약품 개발에 중점을 두고 있습니다. 세니젠은 최신 기술을 활용하여 질병 진단과 치료에 기여하고 있습니다.

제공하는 제품과 서비스는 다음과 같습니다:

#분자진단 #유전자분석 #맞춤형의약품 #진단키트 #생명과학솔루션 #의료기술혁신",#분자진단 #유전자분석 #맞춤형의약품 #진단키트 #생명과학솔루션 #의료기술혁신,0,0,0,0,1,0
신시웨이,290560,소프트웨어 개발 및 공급업,DB보안솔루션 등,2023-11-03,12월,"정재훈, 유경석 (각자 대표이사)",,서울특별시,"10,459,352,357",Information Technology,정보기술,['Computer & IT Services'],['컴퓨터·IT 서비스'],"신시웨이(ShinSiWay)는 첨단 기술과 혁신적인 솔루션을 제공하는 기업으로, 다양한 산업 분야에서 고객의 요구에 맞춘 제품과 서비스를 개발하고 있습니다. 이 회사는 주로 IT 및 소프트웨어 솔루션, 데이터 분석, 클라우드 서비스 등을 중심으로 활동하고 있습니다.

제공하는 제품과 서비스는 다음과 같습니다:

#IT솔루션 #소프트웨어개발 #데이터분석 #클라우드서비스 #AI솔루션 #모바일앱개발 #디지털전환 #사이버보안",#IT솔루션 #소프트웨어개발 #데이터분석 #클라우드서비스 #AI솔루션 #모바일앱개발 #디지털전환 #사이버보안,1,0,0,0,0,0
유진테크놀로지,240600,기타 금속 가공제품 제조업,이차전지 정밀금형 외,2023-11-02,12월,"여현국, 이미연",http://www.yujintechnology.com/,충청북도,"47,497,623,102",Materials,소재,['Other Products'],['기타 제품/서비스'],"유진테크놀로지는 첨단 기술을 바탕으로 다양한 산업 분야에서 혁신적인 솔루션을 제공하는 기업입니다. 주로 반도체, 디스플레이, 그리고 자동화 시스템 등에서 강점을 가지고 있으며, 고객의 요구에 맞춘 맞춤형 제품과 서비스를 제공합니다.

#반도체 #디스플레이 #자동화시스템 #맞춤형솔루션 #기술혁신",#반도체 #디스플레이 #자동화시스템 #맞춤형솔루션 #기술혁신,0,1,0,0,0,0
유투바이오,221800,기타 과학기술 서비스업,"체외진단검사서비스, 의료IT솔루션",2023-11-02,12월,김진태,http://www.u2bio.com,서울특별시,"30,792,036,515",Other Industrials,기타산업,['Other Products'],['기타 제품/서비스'],"유투바이오(U2BIO)는 생명과학 및 바이오 분야에서 혁신적인 솔루션을 제공하는 기업입니다. 이 회사는 주로 유전자 분석, 진단 키트 및 개인 맞춤형 의료 서비스를 전문으로 하고 있습니다. 유투바이오는 최신 기술을 활용하여 질병 예방 및 조기 진단에 기여하고 있습니다.

제공하는 제품과 서비스:
#유전자분석 #진단키트 #개인맞춤의료 #바이오소프트웨어 #생명과학연구 #헬스케어솔루션",#유전자분석 #진단키트 #개인맞춤의료 #바이오소프트웨어 #생명과학연구 #헬스케어솔루션,0,0,0,0,1,0
퀄리타스반도체,432720,반도체 제조업,초고속 통신용 반도체 IP,2023-10-27,12월,김두호,http://q-semi.com,경기도,"10,774,541,164",Other Industrials,기타산업,['Other Products'],['기타 제품/서비스'],"퀄리타스반도체(Qualitas Semiconductor)는 반도체 산업에서 다양한 솔루션을 제공하는 회사로, 주로 고성능 반도체 설계 및 제조에 집중하고 있습니다. 이 회사는 첨단 기술을 활용하여 효율적이고 신뢰성 있는 반도체 제품을 개발하고 있으며, 고객의 요구에 맞춘 맞춤형 솔루션도 제공합니다.

퀄리타스반도체가 제공하는 제품과 서비스는 다음과 같습니다:

#반도체설계 #고성능반도체 #맞춤형솔루션 #칩제작 #테스트서비스 #반도체제조 #기술컨설팅",#반도체설계 #고성능반도체 #맞춤형솔루션 #칩제작 #테스트서비스 #반도체제조 #기술컨설팅,0,0,0,0,0,0
미쥬,351020,봉제의복 제조업,"여성의류, 골프의류 등",2023-10-26,12월,황승주,http://lenic.co.kr,서울특별시,"23,149,367,737",Other Industrials,기타산업,['Other Products'],['기타 제품/서비스'],"미쥬는 주로 뷰티와 스킨케어 제품을 전문으로 하는 브랜드입니다. 이 회사는 피부 건강과 아름다움을 위한 다양한 제품을 제공하며, 자연 유래 성분을 활용한 안전하고 효과적인 제품 개발에 집중하고 있습니다. 미쥬는 고객의 다양한 피부 고민을 해결하기 위해 연구와 개발에 힘쓰고 있습니다.

#스킨케어 #메이크업 #피부관리 #자연주의 #뷰티제품 #화장품 #피부개선 #모이스처라이저 #세럼 #클렌저 #팩 #선크림",#스킨케어 #메이크업 #피부관리 #자연주의 #뷰티제품 #화장품 #피부개선 #모이스처라이저 #세럼 #클렌저 #팩 #선크림,0,0,0,0,1,0
워트,396470,특수 목적용 기계 제조업,초정밀 온습도 제어장비,2023-10-26,12월,"박승배, 양귀철(각자 대표이사)",http://wot.co.kr,경기도,"12,845,576,073",Industrials,산업재,['Other Products'],['기타 제품/서비스'],"워트(Wart)는 혁신적인 기술과 디자인을 기반으로 다양한 소비자 제품을 개발하는 회사입니다. 특히, 라이프스타일과 관련된 제품에 초점을 맞추고 있으며, 사용자 경험을 최우선으로 고려하여 제품을 디자인하고 있습니다.

워트가 제공하는 제품과 서비스는 다음과 같습니다:

#스마트홈기기 #웨어러블디바이스 #모바일앱 #IoT솔루션 #헬스케어기기 #에코프렌들리제품",#스마트홈기기 #웨어러블디바이스 #모바일앱 #IoT솔루션 #헬스케어기기 #에코프렌들리제품,0,0,0,1,0,0
에스엘에스바이오,246250,"그외 기타 전문, 과학 및 기술 서비스업","의약품 품질관리, 신약개발지원, 체외진단기기",2023-10-20,12월,이영태,http://www.slabs.co.kr,경기도,"9,023,399,199",Other Industrials,기타산업,['Other Products'],['기타 제품/서비스'],"에스엘에스바이오(SLSBIO)는 생명과학 및 바이오 분야에서 혁신적인 제품과 서비스를 제공하는 회사입니다. 주로 연구용 시약, 생물학적 재료, 진단 키트 등 다양한 생명과학 관련 제품을 개발하고 공급합니다.

#연구용시약 #생물학적재료 #진단키트 #바이오제품 #생명과학서비스",#연구용시약 #생물학적재료 #진단키트 #바이오제품 #생명과학서비스,0,0,0,0,1,0
신성에스티,416180,자동차 신품 부품 제조업,전기차/2차전지 Busbar 및 배터리모듈 보호 부품 등,2023-10-19,12월,"안병두, 손태도(각자 대표)",http://shinsungst.co.kr,경상남도,"124,673,269,789",Other Industrials,기타산업,['Other Products'],['기타 제품/서비스'],"신성에스티는 전자 및 정보통신 분야에서 활동하는 기업으로, 주로 반도체 및 디스플레이 관련 기술을 개발하고 제공합니다. 이 회사는 혁신적인 솔루션을 통해 고객의 다양한 요구에 부합하는 제품을 공급하고 있습니다.

제공하는 제품과 서비스는 다음과 같습니다:

#반도체 #디스플레이기술 #전자제품 #정보통신솔루션 #기술컨설팅 #R&D서비스",#반도체 #디스플레이기술 #전자제품 #정보통신솔루션 #기술컨설팅 #R,0,0,0,0,0,0
퓨릿,445180,기초 화학물질 제조업,"반도체용 케미컬, 디스플레이용 케미컬, 산업용 케미컬",2023-10-18,12월,김정수,http://purit.co.kr,경상북도,"120,458,972,206",Materials,소재,['Other Products'],['기타 제품/서비스'],"퓨릿(Furit)은 주로 고품질의 전자기기 및 솔루션을 제공하는 회사로, 혁신적인 기술과 디자인을 바탕으로 다양한 소비자 및 산업용 제품을 개발하고 있습니다. 이 회사는 사용자 경험을 최우선으로 고려하여 제품을 설계하며, 지속 가능한 기술을 통해 환경에도 긍정적인 영향을 미치고자 합니다.

퓨릿이 제공하는 제품과 서비스는 다음과 같습니다:

#스마트폰 #태블릿 #웨어러블기기 #스마트홈기기 #IoT솔루션 #소프트웨어개발 #고객지원서비스 #기술컨설팅",#스마트폰 #태블릿 #웨어러블기기 #스마트홈기기 #IoT솔루션 #소프트웨어개발 #고객지원서비스 #기술컨설팅,0,0,0,1,0,0
바이오텐,289170,기타 식품 제조업,"일반식품, 건강기능식품, 보조사료",2023-10-13,12월,김영철,http://www.bioten.co.kr,전북특별자치도,,Other Industrials,기타산업,['Other Products'],['기타 제품/서비스'],"바이오텐(Bioten)은 생명과학 및 바이오 기술 분야에서 혁신적인 솔루션을 제공하는 회사입니다. 이 회사는 건강과 웰빙을 증진하기 위한 다양한 제품과 서비스를 개발하며, 특히 자연 친화적인 성분을 활용한 제품에 중점을 두고 있습니다.

제공하는 제품과 서비스는 다음과 같습니다:

#건강보조식품 #스킨케어제품 #바이오의약품 #헬스케어솔루션 #자연유래성분 #맞춤형영양제 #연구개발서비스",#건강보조식품 #스킨케어제품 #바이오의약품 #헬스케어솔루션 #자연유래성분 #맞춤형영양제 #연구개발서비스,0,0,0,1,1,1
에이치엠씨제6호스팩,462020,금융 지원 서비스업,합병,2023-10-13,12월,한웅,,서울특별시,0,Other Industrials,기타산업,['Other Products'],['기타 제품/서비스'],"에이치엠씨제6호스팩(HMC 6th Special Purpose Acquisition Company)은 기업 인수합병(M&A)과 같은 전략적 사업 확장을 위해 설립된 스팩(SPAC)입니다. 스팩은 특정 목적을 위해 자본을 모은 후, 적합한 기업을 인수하여 상장시키는 구조입니다. 

이 회사는 특정 제품이나 서비스를 직접적으로 제공하기보다는, 인수한 기업들의 성장과 발전을 지원하는 역할을 합니다. 

#기업인수 #상장지원 #M&A전략 #투자유치 #스팩",#기업인수 #상장지원 #M #투자유치 #스팩,0,0,0,0,0,0
아이엠티,451220,특수 목적용 기계 제조업,건식세정 장비 및 EUV Mask Baking Laser,2023-10-10,12월,최재성,http://www.imt-c.co.kr/kor/,경기도,"6,469,805,221",Industrials,산업재,['Other Products'],['기타 제품/서비스'],"'아이엠티'는 정보기술(IT) 분야에서 다양한 솔루션과 서비스를 제공하는 회사입니다. 이 회사는 고객의 비즈니스 효율성을 높이기 위해 최신 기술을 활용한 혁신적인 제품을 개발하고 있습니다. 

아이엠티가 제공하는 제품과 서비스는 다음과 같습니다:

#소프트웨어개발 #클라우드서비스 #데이터분석 #IT컨설팅 #모바일앱개발 #보안솔루션 #시스템통합 #AI솔루션",#소프트웨어개발 #클라우드서비스 #데이터분석 #IT컨설팅 #모바일앱개발 #보안솔루션 #시스템통합 #AI솔루션,1,0,0,0,0,0
레뷰코퍼레이션,443250,광고업,"REVU 서비스(컨텐츠마케팅, 로컬, 에이전시)",2023-10-06,12월,송인상,http://corp.revu.net,서울특별시,"51,589,751,390",Other Industrials,기타산업,['Other Products'],['기타 제품/서비스'],"레뷰코퍼레이션은 리뷰 및 평가 기반의 마케팅 솔루션을 제공하는 회사입니다. 고객의 의견과 피드백을 활용하여 브랜드와 제품의 가시성을 높이고, 소비자와의 신뢰를 구축하는 데 집중하고 있습니다. 이 회사는 다양한 산업 분야에서 활용될 수 있는 데이터 분석 및 인사이트를 제공하여 기업의 성장과 발전을 지원합니다.

#리뷰관리 #소셜미디어분석 #데이터인사이트 #마케팅솔루션 #고객피드백 #브랜드신뢰 #리뷰자동화",#리뷰관리 #소셜미디어분석 #데이터인사이트 #마케팅솔루션 #고객피드백 #브랜드신뢰 #리뷰자동화,1,0,0,0,0,0
두산로보틱스,454910,특수 목적용 기계 제조업,협동로봇,2023-10-05,12월,"박인원, 김민표, 조길성",http://www.doosanrobotics.com,경기도,"53,038,372,299",Industrials,산업재,['Other Products'],['기타 제품/서비스'],"두산로보틱스는 두산 그룹의 자회사로, 로봇 기술을 기반으로 다양한 산업 분야에 자동화 솔루션을 제공하는 회사입니다. 이 회사는 협동 로봇(코봇) 및 자동화 시스템을 개발하여 제조업, 물류, 의료 등 다양한 분야에서 효율성을 높이는 데 기여하고 있습니다.

아래는 두산로보틱스가 제공하는 제품과 서비스에 대한 해시태그입니다:

#협동로봇 #코봇 #로봇자동화 #산업용로봇 #물류자동화 #의료로봇 #AI기반로봇 #로봇솔루션",#협동로봇 #코봇 #로봇자동화 #산업용로봇 #물류자동화 #의료로봇 #AI기반로봇 #로봇솔루션,1,1,0,0,0,0
신한제11호스팩,452980,금융 지원 서비스업,금융서비스(기업인수목적 회사),2023-10-04,12월,오정훈,,서울특별시,0,Other Industrials,기타산업,['Other Products'],['기타 제품/서비스'],"신한제11호스팩은 신한금융그룹의 자회사로, 주로 기업 인수합병(M&A) 및 투자 활동을 통해 성장 가능성이 있는 기업에 자금을 투자하는 스팩(SPAC)입니다. 스팩은 상장된 특수목적회사로, 특정 기업과 합병하여 상장하는 구조를 가지고 있습니다.

이 회사가 제공하는 제품과 서비스는 다음과 같습니다:

#기업인수합병 #투자활동 #상장지원 #자금조달 #주식시장진입",#기업인수합병 #투자활동 #상장지원 #자금조달 #주식시장진입,0,0,0,0,0,0
한싹,430690,소프트웨어 개발 및 공급업,망간자료전송,2023-10-04,12월,이주도,http://www.hanssak.co.kr,서울특별시,"24,095,098,864",Information Technology,정보기술,['Computer & IT Services'],['컴퓨터·IT 서비스'],"한싹은 한국의 IT 기업으로, 주로 소프트웨어 개발 및 IT 솔루션을 제공합니다. 이 회사는 다양한 산업 분야에 맞춘 혁신적인 기술을 통해 고객의 요구를 충족시키고 있습니다. 

한싹이 제공하는 제품과 서비스는 다음과 같습니다:

#소프트웨어개발 #IT솔루션 #모바일앱개발 #웹서비스 #클라우드서비스 #데이터분석 #인공지능솔루션",#소프트웨어개발 #IT솔루션 #모바일앱개발 #웹서비스 #클라우드서비스 #데이터분석 #인공지능솔루션,1,0,0,0,0,0
KT밀리의서재,418470,"서적, 잡지 및 기타 인쇄물 출판업",전자책 정기구독 서비스,2023-09-27,12월,박현진,http://www.millie.town,서울특별시,"56,572,748,963",Other Industrials,기타산업,['Other Products'],['기타 제품/서비스'],"KT밀리의서재는 KT그룹의 자회사로, 디지털 도서관 및 전자책 구독 서비스 플랫폼을 운영하는 회사입니다. 사용자들은 다양한 전자책과 오디오북을 구독하여 언제 어디서나 읽고 들을 수 있는 서비스를 제공합니다. 

#전자책 #오디오북 #구독서비스 #디지털도서관 #KT그룹",#전자책 #오디오북 #구독서비스 #디지털도서관 #KT그룹,0,0,0,0,0,0
인스웨이브,450520,소프트웨어 개발 및 공급업,"UI/UX 개발 솔루션, 엔터프라이즈 DX 솔루션, 금융 단말 솔루션 등",2023-09-25,12월,어세룡,http://www.inswave.com,서울특별시,"32,603,845,712",Information Technology,정보기술,['Computer & IT Services'],['컴퓨터·IT 서비스'],"인스웨이브(Inswave)는 디지털 혁신을 선도하는 IT 기업으로, 다양한 소프트웨어 솔루션과 서비스를 제공하고 있습니다. 특히, 기업의 업무 효율성을 높이기 위한 제품 개발에 주력하고 있으며, 클라우드 기반 서비스와 모바일 애플리케이션에서도 두각을 나타내고 있습니다.

인스웨이브가 제공하는 제품과 서비스는 다음과 같습니다:

#전자문서 #업무자동화 #클라우드서비스 #모바일애플리케이션 #데이터관리 #AI솔루션 #협업툴 #보안솔루션",#전자문서 #업무자동화 #클라우드서비스 #모바일애플리케이션 #데이터관리 #AI솔루션 #협업툴 #보안솔루션,1,0,0,0,0,0
우듬지팜,403490,"과실, 채소 가공 및 저장 처리업","스테비아 토마토, 대추방울 토마토, 완숙 토마토 등",2023-09-19,12월,심용보,http://www.wdgfarm.com,충청남도,"56,576,333,044",Other Industrials,기타산업,['Other Products'],['기타 제품/서비스'],"우듬지팜은 농업 관련 제품과 서비스를 제공하는 회사로, 지속 가능한 농업과 친환경 농법을 지향합니다. 이 회사는 다양한 농작물 재배에 필요한 자재와 기술을 지원하며, 농민과 소비자 간의 연결을 도모합니다.

#유기농농작물 #친환경비료 #농업기술컨설팅 #농민교육 #농산물유통 #스마트팜솔루션",#유기농농작물 #친환경비료 #농업기술컨설팅 #농민교육 #농산물유통 #스마트팜솔루션,0,0,0,1,1,0
코어라인소프트,384470,소프트웨어 개발 및 공급업,의료영상 진단보조 솔루션,2023-09-18,12월,김진국,http://www.corelinesoft.com,서울특별시,,Information Technology,정보기술,['Computer & IT Services'],['컴퓨터·IT 서비스'],"코어라인소프트는 항공 및 방위 산업을 위한 소프트웨어 솔루션을 제공하는 전문 기업입니다. 이 회사는 특히 항공기 유지보수 관리와 관련된 고급 소프트웨어를 개발하여 고객의 효율성을 높이고, 안전성을 강화하는 데 기여하고 있습니다.

코어라인소프트가 제공하는 제품과 서비스는 다음과 같습니다:

#MRO소프트웨어 #항공기유지보수 #자산관리 #데이터분석 #최적화솔루션 #가상현실훈련",#MRO소프트웨어 #항공기유지보수 #자산관리 #데이터분석 #최적화솔루션 #가상현실훈련,1,0,1,0,0,0
STX그린로지스,465770,해상 운송업,해상운송업 및 물류업,2023-09-15,12월,유재호,http://www.stxgreenlogis.co.kr/,부산광역시,"28,310,433,178",Other Industrials,기타산업,['Other Products'],['기타 제품/서비스'],"STX그린로지스는 지속 가능한 물류 솔루션을 제공하는 회사로, 친환경 물류 및 유통 서비스를 전문으로 하고 있습니다. 이 회사는 효율적인 물류 관리와 환경 보호를 동시에 추구하며, 다양한 산업 분야에 맞춤형 솔루션을 제공합니다.

제공하는 제품과 서비스는 다음과 같습니다:

#친환경물류 #물류관리솔루션 #유통서비스 #재활용물류 #친환경포장 #온실가스감축 #물류컨설팅",#친환경물류 #물류관리솔루션 #유통서비스 #재활용물류 #친환경포장 #온실가스감축 #물류컨설팅,0,0,0,1,0,0
상상인제4호스팩,452670,금융 지원 서비스업,합병,2023-09-14,12월,양범,,서울특별시,,Other Industrials,기타산업,['Other Products'],['기타 제품/서비스'],"상상인제4호스팩은 한국의 특수목적회사(SPAC)로, 주로 기업 인수합병(M&A) 및 투자 활동을 통해 자본 시장에서의 기회를 찾는 것을 목표로 합니다. 이 회사는 다양한 산업 분야에서의 성장 가능성이 있는 기업에 투자하여 가치를 창출하는 데 중점을 두고 있습니다.

제품과 서비스는 다음과 같습니다:

#기업인수합병 #투자활동 #자본시장기회 #성장기업투자 #스팩운영",#기업인수합병 #투자활동 #자본시장기회 #성장기업투자 #스팩운영,0,0,0,0,0,0
율촌,146060,1차 철강 제조업,냉간인발강관(파이프),2023-09-08,12월,"이흥해, 이인호",http://www.ycpipe.com,경기도,"72,612,466,182",Other Industrials,기타산업,['Other Products'],['기타 제품/서비스'],"율촌은 대한민국의 화학 및 에너지 기업으로, 주로 석유화학 제품을 제조하고 공급하는 회사입니다. 이 회사는 다양한 산업 분야에 필요한 원자재를 생산하며, 지속 가능한 발전을 위해 친환경 기술에도 힘쓰고 있습니다.

율촌이 제공하는 제품과 서비스는 다음과 같습니다:
#석유화학제품 #폴리머 #화학원료 #에너지솔루션 #친환경기술 #산업용화학제품",#석유화학제품 #폴리머 #화학원료 #에너지솔루션 #친환경기술 #산업용화학제품,0,0,0,1,0,0
